feature,importance
s11,0.4812981079394877
s4,0.159451378454967
s12,0.08548441279646139
s20,0.05388326254041453
s15,0.05341541074703567
s7,0.046197464463182146
s21,0.039686889996263054
s3,0.02990612034420777
s17,0.02661241788850558
s2,0.024064534829475306
